strat,outcome,tertile,k,n,pct,lo,hi
z_iliopsoas_texture,ODI,Low,31,45,68.88888888888889,54.335194419128754,80.47130073856617
z_iliopsoas_texture,ODI,Intermediate,25,40,62.5,47.03243913373699,75.7770208353928
z_iliopsoas_texture,ODI,High,17,35,48.57142857142857,32.99423599924536,64.43119540751529
z_iliopsoas_texture,PROMIS-PF,Low,37,47,78.72340425531915,65.09597328728528,88.01029200353807
z_iliopsoas_texture,PROMIS-PF,Intermediate,26,42,61.904761904761905,46.81404026367842,75.00027423866115
z_iliopsoas_texture,PROMIS-PF,High,19,34,55.88235294117647,39.453899252608494,71.11651775684878
