group,tp,month,mean,sem,n
High heterogeneity,base,0.0,34.37271035362319,0.7543047190464072,69
High heterogeneity,6w,1.5,36.31008407647058,0.8924556034564717,68
High heterogeneity,3m,3.0,40.792346514516126,1.0016632536479393,62
High heterogeneity,6m,6.0,41.86004066779661,1.0470458766072084,59
High heterogeneity,1y,12.0,41.90875263150685,1.018903533858802,73
High heterogeneity,2y,24.0,40.302754232075465,1.2989524988526189,53
Low heterogeneity,base,0.0,33.16467193404256,0.7713569211985549,94
Low heterogeneity,6w,1.5,36.11855903894736,0.7245930122485204,95
Low heterogeneity,3m,3.0,38.53759778055556,0.9376317718464587,72
Low heterogeneity,6m,6.0,40.25873634285714,1.0083732006690254,84
Low heterogeneity,1y,12.0,41.38352762291667,0.9729682267230035,96
Low heterogeneity,2y,24.0,41.19836790833333,1.4992791440730282,48
