,,False,True
age,mean,63.94027665027139,61.31133332523318
age,count,215.0,169.0
pf_base,mean,33.59502678536585,33.70539087804878
pf_base,count,41.0,123.0
odi_base,mean,52.282051282051285,47.48780487804878
odi_base,count,39.0,123.0
leg_base,mean,6.488888888888889,6.0227272727272725
leg_base,count,45.0,132.0
iliopsoas_vol,mean,178.51764634259257,185.65031118343197
iliopsoas_vol,count,216.0,169.0
iliopsoas_qual,mean,98.1336169767442,139.95622497041418
iliopsoas_qual,count,215.0,169.0
