outcome,variable,completer_mean,completer_n,noncompleter_mean,noncompleter_n,p
odi,age,60.811,161,64.207,223,0.0149
odi,pf_base,33.952,120,32.929,44,0.3973
odi,odi_base,46.808,120,53.881,42,0.0273
odi,leg_base,6.031,129,6.438,48,0.4081
odi,iliopsoas_vol,184.962,161,179.267,224,0.4853
odi,iliopsoas_qual,141.331,161,98.641,223,0.0035
odi,iliopsoas_rcord,0.221,156,0.187,217,0.047
odi,z_iliopsoas_texture,-0.096,161,0.079,223,0.1
odi,female,0.429,161,0.5,224,0.2
